EMPLOYEE,CLOCKIN,11-30-2017,11:15
EMPLOYEE,CLOCKIN,11-30-2017,11:16
EMPLOYEE,CLOCKIN,11-30-2017,11:17
EMPLOYEE,CLOCKIN,11-30-2017,11:18
EMPLOYEE,CLOCKIN,11-30-2017,11:18
EMPLOYEE4,CLOCKIN,11-30-2017,11:22
EMPLOYEE4,CLOCKIN,11-30-2017,11:22
EMPLOYEE4,CLOCKIN,11-30-2017,11:23
EMPLOYEE5,CLOCKIN,11-30-2017,11:23
EMPLOYEE5,CLOCKIN,11-30-2017,11:23
EMPLOYEE2,CLOCKOUT,11-30-2017,13:11
EMPLOYEE4,CLOCKOUT,11-30-2017,13:11
EMPLOYEE2,CLOCKOUT,11-30-2017,13:26
EMPLOYEE5,CLOCKOUT,11-30-2017,13:30
EMPLOYEE6,CLOCKOUT,11-30-2017,13:30
EMPLOYEE4,CLOCKOUT,11-30-2017,13:30
EMPLOYEE3,CLOCKOUT,11-30-2017,13:30
EMPLOYEE2,CLOCKOUT,11-30-2017,13:31
EMPLOYEE,CLOCKOUT,11-30-2017,13:31
EMPLOYEE4,CLOCKOUT,11-30-2017,13:37
EMPLOYEE4,CLOCKOUT,11-30-2017,13:37
EMPLOYEE4,CLOCKOUT,11-30-2017,13:38
EMPLOYEE4,CLOCKOUT,11-30-2017,13:41
EMPLOYEE4,CLOCKOUT,11-30-2017,13:41
EMPLOYEE4,CLOCKOUT,11-30-2017,13:41
EMPLOYEE4,CLOCKOUT,11-30-2017,13:42
EMPLOYEE4,CLOCKOUT,11-30-2017,13:42
EMPLOYEE4,CLOCKOUT,11-30-2017,13:44
EMPLOYEE4,CLOCKOUT,11-30-2017,13:44
